code,symbol,name,industry
505509,RESPONIND,Responsive Industries Ltd,
505515,SHYMINV,Shyamkamal Investments Ltd,
505520,ZHEMHOLD,Hem Holdings & Trading Ltd,
505523,MAHACORP,Maharashtra Corporation Ltd,
505526,DOLATALGO,Dolat Algotech Ltd,
505533,WESTLIFE,Westlife Foodworld Ltd,
505537,ZEEL,Zee Entertainment Enterprises Ltd,
505585,ZKOVALIN,Kovalam Investment & Trading Company Ltd,
505590,SVPGLOB,SVP Global Textiles Ltd,
505594,MULTIIN,Multiplus Holdings Ltd,
505650,SKYLMILAR,Skyline Millars Ltd,
505681,BIMETAL,Bimetal Bearings Ltd-$,
505685,TAPARIA,Taparia Tools Ltd,
505688,BHARATGEAR,Bharat Gears Ltd,
505690,BRADYM,Brady & Morris Engineering Company Ltd,
505693,LATIMMETAL,La Tim Metal & Industries Ltd,
505700,ELECON,Elecon Engineering Company Ltd,
505710,GRAUWEIL,Grauer & Weil India Ltd-$,
505712,HIMTEK,Him Teknoforge Ltd,
505714,GABRIEL,Gabriel India Ltd-$,
505720,HERCULES,Hercules Investments Ltd,
505725,ALGOQUANT,Algoquant Fintech Ltd,
505726,IFBIND,IFB Industries Ltd,
505729,SINGERIND,Singer India Ltd,
505737,INTLCOMBQ,International Combustion India Ltd,
505744,FMGOETZE,Federal-Mogul Goetze (India) Ltd,
505750,JOSTS,Josts Engineering Company Ltd,
505790,SCHAEFFLER,Schaeffler India Ltd,
505800,RANEHOLDIN,Rane Holdings Ltd,
505807,ROLCOEN,Rolcon Engineering Company Ltd,
505827,SNL,SNL Bearings Ltd,
505840,JAIPAN,Jaipan Industries Ltd,
505850,MANCREDIT,Mangal Credit and Fincorp Ltd,
505854,TRF,TRF Ltd-$,
505872,WPIL,WPIL Ltd,
505890,KENNAMET,Kennametal India Ltd-$,
505893,HINDHARD,Hindustan Hardy Ltd,
505978,TRITONV,Triton Valves Ltd,
506003,SUDAI,Sudal Industries Ltd,
506022,PRAKASH,Prakash Industries Ltd,
506024,HVL,Hariyana Ventures Ltd,
506042,ZPRBHSTE,Prabhu Steel Industries Ltd,
506074,ARSHIYA,Arshiya Ltd,
506076,GRINDWELL,Grindwell Norton Ltd-$,
